ID,Année,Pays,GDP (en TND),Population,Le Produit Intérieur brut (%),Taux de fécondité,Taux de mortalité infantille (pour 1 000 naissances vivantes),Taux de mortalité maternelle (pour 1 00000 naissances vivantes),Production agricole (en USD),Personnel militaire actif,Personnel militaire de réserve,Taux dalphabetisation(%),La production informatique (en USD),Le nombre de chars dassut,Le nombre de sous marines,Le nombre de véhicules,Personnel militaire,PIB Catégorie ,Unités de logement,Personnes rendues sans abri,Mineurs rendus sans abri,Zone,Type de structure,Portée de la démolition,District,Raison de la démolition,Démolition effectuée par
11,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,1,6,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Nablus,Demolition for alleged military purposes,
12,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,50,214,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Bethlehem,Demolition of houses as punishment,
13,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,9,57,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Herbon,Demolition of houses as punishment,
14,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,24,105,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jenin,Demolition of houses as punishment,
15,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,26,150,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Nablus,Demolition of houses as punishment,
16,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,3,27,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Qalqiliya,Demolition of houses as punishment,
17,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,21,96,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Ramallah and al-Bira,Demolition of houses as punishment,
18,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,8,27,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Salfit,Demolition of houses as punishment,
19,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,11,61,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Talkum,Demolition of houses as punishment,
20,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,4,24,0,Gaza Strip,Residential Structure,Complete Demolition,Deir al-Balah,Demolition of houses as punishment,
21,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,6,50,0,Gaza Strip,Residential Structure,Complete Demolition,Gaza,Demolition of houses as punishment,
22,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,2,10,0,Gaza Strip,Residential Structure,Complete Demolition,Khan Yunis,Demolition of houses as punishment,
23,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,4,20,0,Gaza Strip,Residential Structure,Complete Demolition,Noth Gaza,Demolition of houses as punishment,
24,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,8,66,0,Gaza Strip,Residential Structure,Complete Demolition,Rafah,Demolition of houses as punishment,
25,2005-01-01,Palestine,1.33 billion,"3,890,000",7.6,4.78,19.7,28.1,927.0,0,0,92.5,0.165 billion,0,0.0,0,0 - 0,High PIB,70,140,78,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
26,2005-01-01,Palestine,1.33 billion,"3,890,000",7.6,4.78,19.7,28.1,927.0,0,0,92.5,0.165 billion,0,0.0,0,0 - 0,High PIB,5,28,0,Gaza Strip,Residential Structure,Complete Demolition,Khan Yunis,Demolition for alleged military purposes,
27,2005-01-01,Palestine,1.33 billion,"3,890,000",7.6,4.78,19.7,28.1,927.0,0,0,92.5,0.165 billion,0,0.0,0,0 - 0,High PIB,1,4,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jenin,Demolition for alleged military purposes,
28,2005-01-01,Palestine,1.33 billion,"3,890,000",7.6,4.78,19.7,28.1,927.0,0,0,92.5,0.165 billion,0,0.0,0,0 - 0,High PIB,4,12,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Nablus,Demolition for alleged military purposes,
29,2005-01-01,Palestine,1.33 billion,"3,890,000",7.6,4.78,19.7,28.1,927.0,0,0,92.5,0.165 billion,0,0.0,0,0 - 0,High PIB,2,7,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Ramallah and al-Bira,Demolition for alleged military purposes,
30,2005-01-01,Palestine,1.33 billion,"3,890,000",7.6,4.78,19.7,28.1,927.0,0,0,92.5,0.165 billion,0,0.0,0,0 - 0,High PIB,5,23,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Tulkarm,Demolition for alleged military purposes,
31,2005-01-01,Palestine,1.33 billion,"3,890,000",7.6,4.78,19.7,28.1,927.0,0,0,92.5,0.165 billion,0,0.0,0,0 - 0,High PIB,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,Partial Demolition,Jenin,Demolition for alleged military purposes,
32,2005-01-01,Palestine,1.33 billion,"3,890,000",7.6,4.78,19.7,28.1,927.0,0,0,92.5,0.165 billion,0,0.0,0,0 - 0,High PIB,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,Partial Demolition,Nablus,Demolition for alleged military purposes,
33,2006-01-01,Palestine,1.44 billion,"3,762,000",5.8,4.14,18.6,25.4,929.0,0,0,91.9,0.230 billion,0,0.0,0,0 - 0,High PIB,6,12,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,
34,2006-01-01,Palestine,1.44 billion,"3,762,000",5.8,4.14,18.6,25.4,929.0,0,0,91.9,0.230 billion,0,0.0,0,0 - 0,High PIB,14,102,37,The West Bank (Excluding East Jerusalem),Residential Structure,,Bethlehem,Demolition on the pretext of unlawful construction,
35,2006-01-01,Palestine,1.44 billion,"3,762,000",5.8,4.14,18.6,25.4,929.0,0,0,91.9,0.230 billion,0,0.0,0,0 - 0,High PIB,4,31,15,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,
36,2006-01-01,Palestine,1.44 billion,"3,762,000",5.8,4.14,18.6,25.4,929.0,0,0,91.9,0.230 billion,0,0.0,0,0 - 0,High PIB,5,35,17,The West Bank (Excluding East Jerusalem),Residential Structure,,Jenin,Demolition on the pretext of unlawful construction,
37,2006-01-01,Palestine,1.44 billion,"3,762,000",5.8,4.14,18.6,25.4,929.0,0,0,91.9,0.230 billion,0,0.0,0,0 - 0,High PIB,8,5,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Qalqiliya,Demolition on the pretext of unlawful construction,
38,2006-01-01,Palestine,1.44 billion,"3,762,000",5.8,4.14,18.6,25.4,929.0,0,0,91.9,0.230 billion,0,0.0,0,0 - 0,High PIB,6,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,
39,2006-01-01,Palestine,1.44 billion,"3,762,000",5.8,4.14,18.6,25.4,929.0,0,0,91.9,0.230 billion,0,0.0,0,0 - 0,High PIB,3,7,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Salfit,Demolition on the pretext of unlawful construction,
40,2006-01-01,Palestine,1.44 billion,"3,762,000",5.8,4.14,18.6,25.4,929.0,0,0,91.9,0.230 billion,0,0.0,0,0 - 0,High PIB,3,33,9,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,
41,2006-01-01,Palestine,1.44 billion,"3,762,000",5.8,4.14,18.6,25.4,929.0,0,0,91.9,0.230 billion,0,0.0,0,0 - 0,High PIB,44,98,18,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
42,2006-01-01,Palestine,1.44 billion,"3,762,000",5.8,4.14,18.6,25.4,929.0,0,0,91.9,0.230 billion,0,0.0,0,0 - 0,High PIB,6,25,0,Gaza Strip,Residential Structure,Complete Demolition,Deir al-Balah,Demolition for alleged military purposes,
43,2006-01-01,Palestine,1.44 billion,"3,762,000",5.8,4.14,18.6,25.4,929.0,0,0,91.9,0.230 billion,0,0.0,0,0 - 0,High PIB,31,157,0,Gaza Strip,Residential Structure,Complete Demolition,Gaza,Demolition for alleged military purposes,
44,2006-01-01,Palestine,1.44 billion,"3,762,000",5.8,4.14,18.6,25.4,929.0,0,0,91.9,0.230 billion,0,0.0,0,0 - 0,High PIB,27,120,0,Gaza Strip,Residential Structure,Complete Demolition,Khan Yunis,Demolition for alleged military purposes,
45,2006-01-01,Palestine,1.44 billion,"3,762,000",5.8,4.14,18.6,25.4,929.0,0,0,91.9,0.230 billion,0,0.0,0,0 - 0,High PIB,94,585,0,Gaza Strip,Residential Structure,Complete Demolition,North Gaza,Demolition for alleged military purposes,
46,2006-01-01,Palestine,1.44 billion,"3,762,000",5.8,4.14,18.6,25.4,929.0,0,0,91.9,0.230 billion,0,0.0,0,0 - 0,High PIB,158,"1,118",0,Gaza Strip,Residential Structure,Complete Demolition,Rafah,Demolition for alleged military purposes,
47,2006-01-01,Palestine,1.44 billion,"3,762,000",5.8,4.14,18.6,25.4,929.0,0,0,91.9,0.230 billion,0,0.0,0,0 - 0,High PIB,2,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jenin,Demolition for alleged military purposes,
48,2006-01-01,Palestine,1.44 billion,"3,762,000",5.8,4.14,18.6,25.4,929.0,0,0,91.9,0.230 billion,0,0.0,0,0 - 0,High PIB,27,116,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Nablus,Demolition for alleged military purposes,
49,2006-01-01,Palestine,1.44 billion,"3,762,000",5.8,4.14,18.6,25.4,929.0,0,0,91.9,0.230 billion,0,0.0,0,0 - 0,High PIB,5,15,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Qalqiliya,Demolition for alleged military purposes,
50,2006-01-01,Palestine,1.44 billion,"3,762,000",5.8,4.14,18.6,25.4,929.0,0,0,91.9,0.230 billion,0,0.0,0,0 - 0,High PIB,5,14,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Tulkarm,Demolition for alleged military purposes,
51,2007-01-01,Palestine,1.6 billion,"3,865,000",5.3,4.07,17.6,24.3,978.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,3,22,3,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,
52,2007-01-01,Palestine,1.6 billion,"3,865,000",5.3,4.07,17.6,24.3,978.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,3,7,5,The West Bank (Excluding East Jerusalem),Residential Structure,,Bethlehem,Demolition on the pretext of unlawful construction,
53,2007-01-01,Palestine,1.6 billion,"3,865,000",5.3,4.07,17.6,24.3,978.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,18,134,60,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,
54,2007-01-01,Palestine,1.6 billion,"3,865,000",5.3,4.07,17.6,24.3,978.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,2,11,7,The West Bank (Excluding East Jerusalem),Residential Structure,,Jenin,Demolition on the pretext of unlawful construction,
55,2007-01-01,Palestine,1.6 billion,"3,865,000",5.3,4.07,17.6,24.3,978.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,10,82,44,The West Bank (Excluding East Jerusalem),Residential Structure,,Jericho,Demolition on the pretext of unlawful construction,
56,2007-01-01,Palestine,1.6 billion,"3,865,000",5.3,4.07,17.6,24.3,978.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Qalqiliya,Demolition on the pretext of unlawful construction,
57,2007-01-01,Palestine,1.6 billion,"3,865,000",5.3,4.07,17.6,24.3,978.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,2,11,7,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,
58,2007-01-01,Palestine,1.6 billion,"3,865,000",5.3,4.07,17.6,24.3,978.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Salfit,Demolition on the pretext of unlawful construction,
59,2007-01-01,Palestine,1.6 billion,"3,865,000",5.3,4.07,17.6,24.3,978.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,62,219,149,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
60,2007-01-01,Palestine,1.6 billion,"3,865,000",5.3,4.07,17.6,24.3,978.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,1,0,0,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
61,2007-01-01,Palestine,1.6 billion,"3,865,000",5.3,4.07,17.6,24.3,978.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,7,16,14,Gaza Strip,Residential Structure,Complete Demolition,Deir al-Balah,Demolition for alleged military purposes,
62,2007-01-01,Palestine,1.6 billion,"3,865,000",5.3,4.07,17.6,24.3,978.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,4,16,5,Gaza Strip,Residential Structure,Complete Demolition,Gaza,Demolition for alleged military purposes,
63,2007-01-01,Palestine,1.6 billion,"3,865,000",5.3,4.07,17.6,24.3,978.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,1,8,2,Gaza Strip,Residential Structure,Complete Demolition,Khan Yunis,Demolition for alleged military purposes,
64,2007-01-01,Palestine,1.6 billion,"3,865,000",5.3,4.07,17.6,24.3,978.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,2,12,4,Gaza Strip,Residential Structure,Complete Demolition,North Gaza,Demolition for alleged military purposes,
65,2007-01-01,Palestine,1.6 billion,"3,865,000",5.3,4.07,17.6,24.3,978.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,1,3,1,Gaza Strip,Residential Structure,Complete Demolition,Rafah,Demolition for alleged military purposes,
66,2007-01-01,Palestine,1.6 billion,"3,865,000",5.3,4.07,17.6,24.3,978.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,2,8,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Bethlehem,Demolition for alleged military purposes,
67,2007-01-01,Palestine,1.6 billion,"3,865,000",5.3,4.07,17.6,24.3,978.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,16,62,20,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Nablus,Demolition for alleged military purposes,
68,2007-01-01,Palestine,1.6 billion,"3,865,000",5.3,4.07,17.6,24.3,978.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,10,57,19,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Qalqiliya,Demolition for alleged military purposes,
69,2008-01-01,Palestine,1.63 billion,"3,966,000",4.2,3.98,16.7,23.2,102.0,0,0,0.0,0,0,0.0,0,0 - 0,Medium PIB,11,64,39,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,
70,2008-01-01,Palestine,1.63 billion,"3,966,000",4.2,3.98,16.7,23.2,102.0,0,0,0.0,0,0,0.0,0,0 - 0,Medium PIB,7,66,40,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,
71,2008-01-01,Palestine,1.63 billion,"3,966,000",4.2,3.98,16.7,23.2,102.0,0,0,0.0,0,0,0.0,0,0 - 0,Medium PIB,2,9,6,The West Bank (Excluding East Jerusalem),Residential Structure,,Qalqiliya,Demolition on the pretext of unlawful construction,
72,2008-01-01,Palestine,1.63 billion,"3,966,000",4.2,3.98,16.7,23.2,102.0,0,0,0.0,0,0,0.0,0,0 - 0,Medium PIB,16,103,68,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,
73,2008-01-01,Palestine,1.63 billion,"3,966,000",4.2,3.98,16.7,23.2,102.0,0,0,0.0,0,0,0.0,0,0 - 0,Medium PIB,8,34,7,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,
74,2008-01-01,Palestine,1.63 billion,"3,966,000",4.2,3.98,16.7,23.2,102.0,0,0,0.0,0,0,0.0,0,0 - 0,Medium PIB,73,300,161,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
75,2008-01-01,Palestine,1.63 billion,"3,966,000",4.2,3.98,16.7,23.2,102.0,0,0,0.0,0,0,0.0,0,0 - 0,Medium PIB,5,40,27,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
76,2008-01-01,Palestine,1.63 billion,"3,966,000",4.2,3.98,16.7,23.2,102.0,0,0,0.0,0,0,0.0,0,0 - 0,Medium PIB,3,15,7,Gaza Strip,Residential Structure,Complete Demolition,Deir al-Balah,Demolition for alleged military purposes,
77,2008-01-01,Palestine,1.63 billion,"3,966,000",4.2,3.98,16.7,23.2,102.0,0,0,0.0,0,0,0.0,0,0 - 0,Medium PIB,3,12,5,Gaza Strip,Residential Structure,Complete Demolition,Gaza,Demolition for alleged military purposes,
78,2008-01-01,Palestine,1.63 billion,"3,966,000",4.2,3.98,16.7,23.2,102.0,0,0,0.0,0,0,0.0,0,0 - 0,Medium PIB,18,56,28,Gaza Strip,Residential Structure,Complete Demolition,Khan Yunis,Demolition for alleged military purposes,
79,2008-01-01,Palestine,1.63 billion,"3,966,000",4.2,3.98,16.7,23.2,102.0,0,0,0.0,0,0,0.0,0,0 - 0,Medium PIB,6,25,9,Gaza Strip,Residential Structure,Complete Demolition,North Gaza,Demolition for alleged military purposes,
80,2008-01-01,Palestine,1.63 billion,"3,966,000",4.2,3.98,16.7,23.2,102.0,0,0,0.0,0,0,0.0,0,0 - 0,Medium PIB,4,21,14,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Bethlehem,Demolition for alleged military purposes,
81,2008-01-01,Palestine,1.63 billion,"3,966,000",4.2,3.98,16.7,23.2,102.0,0,0,0.0,0,0,0.0,0,0 - 0,Medium PIB,3,14,9,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Qalqiliya,Demolition for alleged military purposes,
82,2008-01-01,Palestine,1.63 billion,"3,966,000",4.2,3.98,16.7,23.2,102.0,0,0,0.0,0,0,0.0,0,0 - 0,Medium PIB,3,13,2,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Tulkarm,Demolition for alleged military purposes,
83,2009-01-01,Palestine,1.61 billion,"4,018,000",6.8,4.0,15.9,22.4,104.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,3,27,15,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,
84,2009-01-01,Palestine,1.61 billion,"4,018,000",6.8,4.0,15.9,22.4,104.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,1,9,7,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,
85,2009-01-01,Palestine,1.61 billion,"4,018,000",6.8,4.0,15.9,22.4,104.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,24,182,40,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,
86,2009-01-01,Palestine,1.61 billion,"4,018,000",6.8,4.0,15.9,22.4,104.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,44,245,138,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
87,2009-01-01,Palestine,1.61 billion,"4,018,000",6.8,4.0,15.9,22.4,104.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,2,11,7,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
88,2009-01-01,Palestine,1.61 billion,"4,018,000",6.8,4.0,15.9,22.4,104.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,3,28,0,East Jerusalem,Residential Structure,Complete Demolition,East Jerusalem,Demolition of houses as punishment,
89,2010-01-01,Palestine,1.6 billion,"4,070,000",8.5,3.99,15.1,21.9,108.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,5,34,24,The West Bank (Excluding East Jerusalem),Residential Structure,,Bethlehem,Demolition on the pretext of unlawful construction,
90,2010-01-01,Palestine,1.6 billion,"4,070,000",8.5,3.99,15.1,21.9,108.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,3,27,21,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,
91,2010-01-01,Palestine,1.6 billion,"4,070,000",8.5,3.99,15.1,21.9,108.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,3,37,24,The West Bank (Excluding East Jerusalem),Residential Structure,,Jericho,Demolition on the pretext of unlawful construction,
92,2010-01-01,Palestine,1.6 billion,"4,070,000",8.5,3.99,15.1,21.9,108.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,19,133,47,The West Bank (Excluding East Jerusalem),Residential Structure,,Nablus,Demolition on the pretext of unlawful construction,
93,2010-01-01,Palestine,1.6 billion,"4,070,000",8.5,3.99,15.1,21.9,108.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,1,5,3,The West Bank (Excluding East Jerusalem),Residential Structure,,Qalqiliya,Demolition on the pretext of unlawful construction,
94,2010-01-01,Palestine,1.6 billion,"4,070,000",8.5,3.99,15.1,21.9,108.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,2,2,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,
95,2010-01-01,Palestine,1.6 billion,"4,070,000",8.5,3.99,15.1,21.9,108.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,2,7,5,The West Bank (Excluding East Jerusalem),Residential Structure,,Salfit,Demolition on the pretext of unlawful construction,
96,2010-01-01,Palestine,1.6 billion,"4,070,000",8.5,3.99,15.1,21.9,108.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,50,142,60,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,
97,2010-01-01,Palestine,1.6 billion,"4,070,000",8.5,3.99,15.1,21.9,108.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,14,100,54,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
98,2010-01-01,Palestine,1.6 billion,"4,070,000",8.5,3.99,15.1,21.9,108.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,9,81,37,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
99,2010-01-01,Palestine,1.6 billion,"4,070,000",8.5,3.99,15.1,21.9,108.0,0,0,0.0,0,0,0.0,0,0 - 0,High PIB,3,13,7,Gaza Strip,Residential Structure,Complete Demolition,Deir al-Balah,Demolition for alleged military purposes,
